match_id,tournament,team_A,team_B,actual_score_A,actual_score_B,status
1,FIFA World Cup 2026,Mexico,South Africa,,,Pending
2,FIFA World Cup 2026,South Korea,Czechia,,,Pending
3,FIFA World Cup 2026,Canada,Bosnia and Herzegovina,,,Pending
4,FIFA World Cup 2026,USA,Paraguay,,,Pending
5,FIFA World Cup 2026,Qatar,Switzerland,,,Pending
6,FIFA World Cup 2026,Brazil,Morocco,,,Pending
7,FIFA World Cup 2026,Haiti,Scotland,,,Pending
8,FIFA World Cup 2026,Australia,Türkiye,,,Pending
9,FIFA World Cup 2026,Germany,Curaçao,,,Pending
10,FIFA World Cup 2026,Netherlands,Japan,,,Pending
11,FIFA World Cup 2026,Ivory Coast,Ecuador,,,Pending
12,FIFA World Cup 2026,Sweden,Tunisia,,,Pending
13,FIFA World Cup 2026,Spain,Cape Verde,,,Pending
14,FIFA World Cup 2026,Belgium,Egypt,,,Pending
15,FIFA World Cup 2026,Saudi Arabia,Uruguay,,,Pending
16,FIFA World Cup 2026,Iran,New Zealand,,,Pending
17,FIFA World Cup 2026,France,Senegal,,,Pending
18,FIFA World Cup 2026,Iraq,Norway,,,Pending
19,FIFA World Cup 2026,Argentina,Algeria,,,Pending
20,FIFA World Cup 2026,Austria,Jordan,,,Pending
21,FIFA World Cup 2026,Ghana,Panama,,,Pending
22,FIFA World Cup 2026,England,Croatia,,,Pending
23,FIFA World Cup 2026,Portugal,Congo DR,,,Pending
24,FIFA World Cup 2026,Uzbekistan,Colombia,,,Pending
25,FIFA World Cup 2026,Czechia,South Africa,,,Pending
26,FIFA World Cup 2026,Switzerland,Bosnia and Herzegovina,,,Pending
27,FIFA World Cup 2026,Canada,Qatar,,,Pending
28,FIFA World Cup 2026,Mexico,South Korea,,,Pending
29,FIFA World Cup 2026,Brazil,Haiti,,,Pending
30,FIFA World Cup 2026,Scotland,Morocco,,,Pending
31,FIFA World Cup 2026,Türkiye,Paraguay,,,Pending
32,FIFA World Cup 2026,USA,Australia,,,Pending
33,FIFA World Cup 2026,Germany,Ivory Coast,,,Pending
34,FIFA World Cup 2026,Ecuador,Curaçao,,,Pending
35,FIFA World Cup 2026,Netherlands,Sweden,,,Pending
36,FIFA World Cup 2026,Tunisia,Japan,,,Pending
